station_id,name,lon,lat,elev_m,tzname,state
EET,Alabaster,-86.78178233,33.17837717,172.0,America/Chicago,AL
BFZ,Albertville,-86.2481262,34.23160226,317.0,America/Chicago,AL
ALX,Alexander City,-85.96126484,32.9142739,193.0,America/Chicago,AL
79J,Andalusia,-86.3901737,31.3061398,98.0,America/Chicago,AL
ANB,Anniston,-85.84788542,33.59043824,182.0,America/Chicago,AL
AUO,AUBURN-OPELIKA APT,-85.434,32.61511,236.0,America/Chicago,AL
AUB,AUBURN UNIV. (AM,-85.5,32.6,198.0,America/Chicago,AL
1R8,Bay Minette,-87.8193,30.8703,72.02543,America/Chicago,AL
EKY,Bessemer,-86.9263,33.3126,213.72552,America/Chicago,AL
BHM,BIRMINGHAM MUNI,-86.74488,33.56546,192.0,America/Chicago,AL
OZR,CAIRNS AAF/OZARK,-85.71335,31.27577,91.0,America/Chicago,AL
9A4,Courtland,-87.3488333,34.6593889,179.0,America/Chicago,AL
CMD,Cullman,-86.858,34.2687,289.02383,America/Chicago,AL
3A1,CULLMAN/FOLSOM_FIELD_ARPT,-86.86,34.27,294.0,America/Chicago,AL
DCU,DECATUR/PRYOR FIELD,-86.94528,34.6525,177.0,America/Chicago,AL
DYA,Demopolis,-87.9541,32.4638,32.245163,America/Chicago,AL
DHN,DOTHAN MUNICIPAL,-85.45,31.32,122.0,America/Chicago,AL
EDN,Enterprise,-85.9048,31.2982,104.84666,America/Chicago,AL
EUF,Eufaula,-85.1289,31.9513,87.0,America/Chicago,AL
GZH,EVERGREEN,-87.04408,31.41581,79.0,America/Chicago,AL
CQF,Fairhope,-87.8770278,30.4605,27.0,America/Chicago,AL
4R4,Fairhope,-87.87702,30.4605,27.7,America/Chicago,AL
0J4,Florala,-86.31193283,31.04474047,91.0,America/Chicago,AL
NBJ,Foley,-87.6353,30.3891,15.187012,America/Chicago,AL
4A9,FORT_PAYNE,-85.72139,34.47369,267.0,America/Chicago,AL
HEY,Fort Rucker,-85.6543333,31.346,97.0,America/Chicago,AL
GAD,GADSDEN MUNI (AWOS),-86.08908,33.97265,173.0,America/Chicago,AL
PRN,Greenville,-86.61075,31.8456944,137.5,America/Chicago,AL
JKA,Gulf Shores,-87.6717781,30.29046,4.9,America/Chicago,AL
8A1,Guntersville,-86.2682,34.3996,186.0,America/Chicago,AL
1M4,Haleyville,-87.6004414,34.2803481,284.0,America/Chicago,AL
HDL,Headland,-85.3125278,31.3641389,108.0,America/Chicago,AL
HSV,HUNTSVILLE/MADISON,-86.78611,34.64389,196.0,America/Chicago,AL
MDQ,HUNTSVILLE/MADISON COUNTY EXEC,-86.56,34.86,230.0,America/Chicago,AL
LOR,LOWE AHP/FT. RUCKER,-85.75111,31.35583,74.0,America/Chicago,AL
JFX,Manchester,-87.3142,33.902,147.0,America/Chicago,AL
A08,Marion,-87.3848,32.5105,62.9503,America/Chicago,AL
MXF,MAXWELL AFB/MONTGOM,-86.36578,32.38294,51.0,America/Chicago,AL
MOB,MOBILE/BATES FIELD,-88.24556,30.68833,67.0,America/Chicago,AL
BFM,MOBILE DOWNTOWN,-88.06808,30.62678,8.0,America/Chicago,AL
MGM,MONTGOMERY/DANNELLY,-86.39397,32.30064,62.0,America/Chicago,AL
MSL,MUSCLE SHOALS RGNL,-87.59962,34.74385,168.0,America/Chicago,AL
PLR,Pell City,-86.2491,33.5588,144.6858,America/Chicago,AL
RAM,PHI OIL PLAT,-88.08333,29.05,10.0,America/Chicago,AL
1A9,Prattville,-86.5127,32.4387,63.56335,America/Chicago,AL
HUA,REDSTONE ARSENAL,-86.68478,34.67865,209.0,America/Chicago,AL
4A6,Scottsburo,-86.0059,34.6887,198.0,America/Chicago,AL
SEM,Selma,-86.9878,32.3439,44.254955,America/Chicago,AL
SXS,Shell AHP,-85.85493608,31.3611609,122.25867,America/Chicago,AL
SCD,Sylacauga,-86.3055,33.1718,170.50438,America/Chicago,AL
ASN,Talladega,-86.0512,33.5695,155.31592,America/Chicago,AL
TOI,TROY MUNICIPAL,-86.01214,31.86042,121.0,America/Chicago,AL
TCL,TUSCALOOSA MUNI,-87.6161,33.2119,52.0,America/Chicago,AL
ADF,Arkadelphia,-93.0660833,34.0998056,57.59382,America/Chicago,AR
BVX,BATESVILLE (AWOS),-91.64722,35.72611,141.0,America/Chicago,AR
SUZ,Benton,-92.4794,34.5904,115.0,America/Chicago,AR
VBT,BENTONVILLE (AWOS),-94.21935,36.34572,395.0,America/Chicago,AR
HKA,Blytheville,-89.83318737,35.93781099,77.0,America/Chicago,AR
CDH,Camden,-92.7633953,33.6227992,39.6,America/Chicago,AR
4M3,Carlisle,-91.7121111,34.8082222,73.0,America/Chicago,AR
CCA,Clinton,-92.4516167,35.5977694,156.7,America/Chicago,AR
DRP,Colt - Delta Regional,-90.8265014,35.1200522,70.0,America/Chicago,AR
CXW,Conway,-92.5551,35.0199,81.75472,America/Chicago,AR
4M9,Corning,-90.6479264,36.4042314,89.3,America/Chicago,AR
BYH,EAKER AFB,-89.94394,35.96433,78.0,America/Chicago,AR
ELD,EL DORADO/GOODWIN,-92.81328,33.22097,77.0,America/Chicago,AR
FYV,FAYETTEVILLE/DRAKE,-94.17006,36.00509,381.0,America/Chicago,AR
FLP,FLIPPIN (AWOS),-92.59025,36.29089,350.0,America/Chicago,AR
FSM,FORT SMITH MUNI,-94.36744,35.33658,141.0,America/Chicago,AR
HRO,HARRISON/BOONE CO.,-93.15473,36.26152,416.0,America/Chicago,AR
HOT,HOT SPRINGS,-93.09622,34.47803,165.0,America/Chicago,AR
DEQ,J LYNN HELMS/DE QUEEN,-94.39936,34.047,108.0,America/Chicago,AR
JBR,Jonesboro,-90.6442296,35.8356729,79.0,America/Chicago,AR
LIT,LITTLE ROCK/ADAMS,-92.23573,34.7273,79.0,America/Chicago,AR
LRF,LITTLE ROCK AFB,-92.14654,34.91677,95.0,America/Chicago,AR
AGO,Magnolia,-93.217,33.228,95.0,America/Chicago,AR
42A,Melbourne,-91.8287,36.0713,226.0,America/Chicago,AR
MEZ,MENA INTERMOUNTAIN MUNI,-94.20264,34.54539,329.0,America/Chicago,AR
LLQ,MONTICELLO,-91.75,33.64,82.0,America/Chicago,AR
BPK,MOUNTAIN HOME/BAXTER COUNTY,-92.47,36.37,283.0,America/Chicago,AR
MWT,MOUNT IDA,-93.57806,34.54667,241.0,America/Chicago,AR
M19,Newport,-91.1763756,35.6377178,72.8,America/Chicago,AR
ORK,North Little Rock,-92.2541,34.8331,162.32234,America/Chicago,AR
LZK,NORTH LITTLE ROCK,-92.25944,34.835,165.0,America/Chicago,AR
XNA,NORTHWEST ARKANSAS REGIONAL APT,-94.307,36.282,392.0,America/Chicago,AR
PBF,PINE BLUFF/GRIDER,-91.93472,34.175,63.0,America/Chicago,AR
ROG,ROGERS (AWOS),-94.10697,36.37242,415.0,America/Chicago,AR
RUE,RUSSELLVILLE MUNICIPAL AIRPORT,-93.09472,35.25778,123.0,America/Chicago,AR
SRC,SEARCY MUNI AIRPORT (M07),-91.74,35.21,80.0,America/Chicago,AR
SLG,SILOAM SPRING(AWOS),-94.49,36.19186,300.0,America/Chicago,AR
ASG,SPRINGDALE MUNI,-94.11926,36.17641,412.0,America/Chicago,AR
SGT,STUTTGART (AWOS),-91.575,34.59948,68.0,America/Chicago,AR
